[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.PlateFancy_HuevosRancheros: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.WoodenSkewersMeat: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.WoodenSkewersVegetable: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.WoodenSkewersRat: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.WoodenSkewersRatCooked: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SlicedChicken: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SlicedBellPepper: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SlicedCarrots: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SlicedTomato: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SlicedZucchini: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SlicedEggplant: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SlicedSteak: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.IcecreamSandwich: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.IcecreamSandwichMelted: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SourCream: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.HomemadeSourCream: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.CarrotCake: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.ChocolateCake: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.TurkeyLegs: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.Takoyaki: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.PastryDough: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.Saucepan_Custard: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.EggYolk: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.SlicedBanana_Bread: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.Banana_Bread: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.Bread_Egginhole: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.Gingerbread_Dough: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.Gingerbread_Man: DisplayCategory, FoodP.
[11-03-23 23:57:04.881] LOG  : General     , 1678579024881> 0> SapphCooking.Gingerbread_Wall: DisplayCategory, FoodP.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.Gingerbread_House: DisplayCategory, FoodP.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.Gingerbread_Pieces: DisplayCategory, FoodP.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.SapphTortillaChips: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.CanolaOil: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.PeanutOil: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.AvocadoOil: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.FryBatter: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.CoconutOil: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.CanofKernelCorn: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.OpenCanofKernelCorn: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.ChickenBroth: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.BeefBroth: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.BucketofFriedBird: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.CannedBread: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.BucketofPopcorn: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.BagofFlourTortillas: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.CutTortilla: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.BowlofNachos: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.TortillaChipsinGuacamole: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.TortillaChipsinRefriedBeans: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.TortillaChipsinQueso: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.CanofPowderedMilk: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.CanofProteinPowder: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.BrownRice: DisplayCategory, FoodN.
[11-03-23 23:57:04.883] LOG  : General     , 1678579024883> 0> SapphCooking.WhiteChocolate: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.BagofSeaweed: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.ProteinBar: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.PastaDough: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.CandyCigarette: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.RolledPastaDough: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.BucketofCandyPopcorn: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.GranulatedSugar: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.VegetableBroth: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.PastaSheets: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.CanofRefriedBeans: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.CannedSausages: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.SaltPacket: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.SugarPacket: DisplayCategory, FoodN.
[11-03-23 23:57:04.884] LOG  : General     , 1678579024884> 0> SapphCooking.HotsaucePacket: DisplayCategory, FoodN.
